"route_id","route_id(nm)","route_type","st_sta_id","ed_sta_id","company_nm","phonenumber","first_time","last_time"
"221000005","36-11","13","234000943","240000072","경기고속","02-455-2114","0835","1940"
"230000142","28-82","13","230001441","230000382","경기고속","02-455-2114","",""
"230000144","20-51","13","237000967","230001365","경기고속","02-455-2114","0940","0940"
"234000448","28-1","13","230001441","230000250","경기고속","02-455-2114","",""
"234000459","28-9","13","230001441","237000804","경기고속","02-455-2114","0935","1940"
"234000759","23","13","230000150","237001275","경기고속","02-455-2114","",""
"234000761","23-14","13","230000150","237000739","경기고속","02-455-2114","0805","2200"
"234000860","988-3","13","237000327","240001134","대원고속","02-455-2114","1110","1110"
"234000861","988-2","13","237000327","240001134","경기고속","02-455-2114","0920","0920"
"234000862","989-3","13","237000327","240000410","경기고속","02-455-2114","1700","1700"
"234001046","36-1","13","234000943","240000072","경기고속","02-455-2114","1140","1850"
"234001087","23-40","13","237000399","230000635","경기고속","02-455-2114","",""
"234001182","28-53","13","230001441","230001365","대원고속","02-455-2114","0805","0805"
"234001292","911-1","13","237000327","237000155","대원고속","02-455-2114","0730","2110"
"234001296","913","13","237000327","237001197","경기고속","02-455-2114","0650","2140"
"234001298","918","13","237000327","237000973","경기고속","02-455-2114","0935","2010"
"234001303","930","13","237000666","237000813","경기고속","02-455-2114","1800","1800"
"234001309","988","13","237000327","240001134","경기고속","02-455-2114","0800","0800"
"234001372","911","13","237000327","237001348","대원고속","02-455-2114","0720","1910"
"234001374","911-3","13","237000327","237000946","경기고속","02-455-2114","",""
"234001378","952-4","13","237000666","237000496","대원고속","02-455-2114","2020","2020"
"234001390","930-2","13","237000666","237000813","경기고속","02-455-2114","",""
"234001400","963-1","13","237000666","237000998","대원고속","02-455-2114","2055","2055"
"234001433","981-1","13","237000327","237000122","경기고속","02-455-2114","2100","2100"
"237000062","964","13","237000666","237001070","대원고속","02-455-2114","0945","1840"
"237000085","992-1","13","237000327","237001247","대원고속","02-455-2114","0646","0646"
"237000086","993","13","237000327","237000278","대원고속","02-455-2114","0710","2100"
"240000051","4-2","13","240000076","237001158","금강고속","031-772-2341","0920","1900"
"240000069","1-9","13","237000170","237000006","금강고속","031-772-2341","0730","1800"
"234001508","988-6","13","237000327","240001134","","","2000","2000"
"230000176","20-52","13","230001460","237000810","","","",""
"234001551","950B","13","237000348","237000661","","","",""
"234001471","28-92","13","230001441","237000891","","","1115","1455"
"234001553","981-4","13","237000327","237000122","","","1300","1300"
"234001483","932-1","13","237000813","237001361","","","1345","1345"
"234001494","953-1","13","237000666","237001108","","","0915","0915"
"234001505","961-4","13","237000666","237000741","","","1930","1930"
"230000116","20-5","13","237000967","230001365","경기고속","02-455-2114","1140","1925"
"234000078","111","12","237001239","230000181","경기고속","02-455-2114","",""
"234000360","988-1","13","240000524","237000324","경기고속","02-455-2114","",""
"234000441","29-91","13","237000813","237000813","경기고속","02-455-2114","0745","0745"
"234000691","984","13","237000327","237000148","경기고속","02-455-2114","",""
"234000693","984-1","13","237000327","237000147","경기고속","02-455-2114","",""
"234001380","924-1","13","237000327","237000813","경기고속","02-455-2114","0955","1630"
"234001389","951-1","13","237000666","237000364","대원고속","02-455-2114","0900","0900"
"234001402","918-2","13","237000327","237000300","대원고속","02-455-2114","2105","2150"
"234001417","913-2","13","237000327","237000239","경기고속","02-455-2114","0800","0800"
"237000054","960","13","237000666","237001271","대원고속","02-455-2114","0820","2125"
"237000064","965-1","13","237000666","237001139","대원고속","02-455-2114","1420","1420"
"237000079","983","13","237000327","237001346","대원고속","02-455-2114","1240","1800"
"237000084","992","13","237000327","237001247","대원고속","02-455-2114","0820","2130"
"240000078","5-3","13","240000076","237001183","금강고속","031-772-2341","2130","2130"
"241001720","8464","11","201508510","240000360","시외-경기고속","02-455-2114","",""
"234001557","918-7","13","237001436","237000327","","","",""
"234001547","982-1","13","237000327","237000892","","","1930","1930"
"234001546","930-5B","13","237000813","237000661","","","",""
"234001498","955","13","237000666","237000957","","","0720","1030"
"234001540","912-5","13","237000327","237001218","","","2120","2120"
"234001545","930-5A","13","237000666","237000813","","","",""
"240000099","5-8","13","240000076","237000170","","","0735","1440"
"234001542","930-4A","13","237000666","237000813","","","",""
"230000117","20-9","13","237000967","231001314","경기고속","02-455-2114","1635","1635"
"230000143","20-62","13","237000967","230001365","경기고속","02-455-2114","0825","0830"
"234000460","29-9","13","230001364","230000414","경기고속","02-455-2114","0725","0725"
"234000694","984-2","13","237000327","237000969","대원고속","02-455-2114","",""
"234000764","23-31","13","230000150","237000904","대원고속","02-455-2114","1215","2010"
"234000771","23-7","13","230000150","237000683","경기고속","02-455-2114","1735","1735"
"234000900","23-6","13","230000150","237000399","경기고속","02-455-2114","1050","1410"
"234001047","36-12","13","234000943","240000072","경기고속","02-455-2114","1040","1750"
"234001117","23-51","13","230000150","237001276","경기고속","02-455-2114","1900","1900"
"234001185","28-90","13","230001441","230000215","대원고속","02-455-2114","",""
"234001298","918","13","237000327","237000973","대원고속","02-455-2114","0935","2010"
"234001306","980","13","237000327","240000600","경기고속","02-455-2114","0640","0640"
"234001371","995","13","237000327","237000225","경기고속","02-455-2114","0645","2020"
"234001387","952-2","13","237000666","237000661","대원고속","02-455-2114","1530","1530"
"234001392","938","13","237000813","230516140","대원고속","02-455-2114","0740","0740"
"234001395","965-2","13","237000666","237000741","대원고속","02-455-2114","1835","1835"
"234001397","974-1","13","237000327","237001429","대원고속","02-455-2114","1400","1400"
"234001408","929-2","13","237000327","500000106","대원고속","02-455-2114","1430","2110"
"234001413","915-2","13","237000327","237000678","경기고속","02-455-2114","0700","0815"
"234001414","915-1","13","237000327","237000678","경기고속","02-455-2114","1050","1840"
"234001418","913-3","13","237000327","237000233","경기고속","02-455-2114","0710","1340"
"234001429","989-4","13","237000327","240000410","경기고속","02-455-2114","2040","2040"
"234001435","987-5","13","237000327","240000134","경기고속","02-455-2114","1400","1400"
"237000060","962","13","237000666","237000370","대원고속","02-455-2114","1040","1040"
"237000094","931","13","237000813","237000899","대원고속","02-455-2114","1140","1905"
"237000096","932","13","237000813","237000804","대원고속","02-455-2114","0710","0710"
"237000102","994","13","237000327","237000111","경기고속","02-455-2114","0920","0920"
"241000590","8101","11","104000289","237500010","시외-경기고속","02-455-2114","",""
"234001544","930-4","13","237000666","237000813","","","1315","1315"
"234001493","954","13","237001108","237000324","","","",""
"234001555","918-8","13","237001368","237000973","","","0800","0800"
"234001507","915-3","13","237000327","237001260","","","1400","1400"
"234001484","938-1","13","237000813","237000821","","","1200","1430"
"234001549","915-4","13","237000327","237000916","","","2045","2045"
"234001560","912-4","13","237000327","237001218","","","0940","0940"
"234001528","20-53","13","237000813","230001365","","","1800","1800"
"234000414","987-1","13","237000327","240000601","경기고속","02-455-2114","",""
"234000458","28-8","13","230001441","237000891","경기고속","02-455-2114","",""
"234000762","23-1","13","230000150","237000878","경기고속","02-455-2114","",""
"234000763","23-2","13","230000150","237000725","경기고속","02-455-2114","1015","2050"
"234000764","23-31","13","230000150","237000904","경기고속","02-455-2114","1215","2010"
"234000770","23-71","13","230000150","237000683","경기고속","02-455-2114","1130","1450"
"234000900","23-6","13","230000150","237000399","경기고속","02-455-2114","1050","1050"
