"station_id","station_nm","mobile_no","eng_nm","chn_nm","jpn_nm"
"124000019","둔촌푸르지오아파트","93039","Dunchonpureujioapateu","",""
"124000020","둔촌푸르지오아파트","93040","Dunchonpureujioapateu","",""
"124000027","천호역5번출구.천호사거리","93062","Cheonhosageoricheonhoyeok","",""
"124000028","천호사거리","93063","Cheonhosageori","",""
"124000362","상일초교(중)","93132","Sangilchogyo(Jung)","",""
"165000808","인천터미널","95183","Incheonteomineol","",""
"200000197","우만주공3.4단지.경기지방경찰청","1256","Umanjugong3.4Danji.Gyeonggijibanggyeongchalcheong","",""
"201508510","수원공용버스터미널","2901","Suwongongyongbeoseuteomineol","",""
"201508520","수원공용버스터미널","2902","Suwongongyongbeoseuteomineol","",""
"202000043","월드컵경기장입구.우만아파트주공3단지","3092","Woldeukeopgyeonggijangipgu.Umanapateujugong3Danji","",""
"202507420","아주대","3186","Ajudae","",""
"203508250","아주대","4295","Ajudae","",""
"206500060","성남터미널","7620","Seongnamteomineol","",""
"206500070","성남터미널","7621","Seongnamteomineol","",""
"207510270","의정부공영버스","8522","Uijeongbugongyeongbeoseu","",""
"207510280","의정부공영버스","8523","Uijeongbugongyeongbeoseu","",""
"218500050","고양.화정터미널","19560","Goyang.Hwajeongteomineol","",""
"218500060","고양.화정터미널","19561","Goyang.Hwajeongteomineol","",""
"219513850","고양(백석)종합터미널","20663","Goyang(Baekseok)Jonghapteomineol","",""
"219513860","고양(백석)종합터미널","20664","Goyang(Baekseok)Jonghapteomineol","",""
"228000679","두진아파트","29107","Dujinapateu","",""
"228000700","두진아파트","29104","Dujinapateu","",""
"228000763","양지농협","29576","Yangjinonghyeop","",""
"228001163","양지농협","29826","Yangjinonghyeop","",""
"228525220","용인공용터미널입구","47948","Yongingongyongteomineolipgu","",""
"228525230","용인공용터미널출구","47949","Yongingongyongteomineolchulgu","",""
"230000011","선경아파트","32106","Seongyeongapateu","",""
"230000012","대우2차아파트","32111","Daeu2Chaapateu","",""
"230000013","대우1차아파트","32112","Daeu1Chaapateu","",""
"230000014","모전리입구","32121","Mojeonriipgu","",""
